Product,Pid,TotalSale,TotalComment,TotalRevenue,Net. (kg)
Ausnutria/澳优官方正品100%原装进口能力多有机婴儿奶粉一段800g,14002006392,6,1,2388,0.8
龙丹奶粉 益生宝婴儿奶粉 1段 袋400g,13838377905,35,1,2730,0.4
雀巢超级能恩婴儿配方奶粉800g 1/一段0-12个月,13675547827,0,0,0,0.8
【2听起有优惠】澳优 能力多婴儿奶粉1段800g厅装 澳优奶粉1段,14187590888,12,0,4296,0.8
买二送一 官方授权 倍滋曼超级呵护奶粉800g2段 超值促销,14182227361,10,2,1980,0.8
美赞臣3段1200g 三段奶粉正品安儿宝婴儿奶粉3段 美赞臣奶粉3段,14041545127,3327,1020,595533,1.2
正品现货14年最新 玛姆奶粉法国原装进口金装三段/3段 积分防伪,14221482821,86,14,24588,0
【喜宝旗舰店】德国进口奶粉 HIPP喜宝益生元婴儿奶粉1段800g罐装,14199325875,665,143,224770,0.8
澳优 原装进口有机能力多婴幼儿奶粉3段 有机奶粉800g,13768488712,16,2,6368,0.8
Karicare可瑞康新西兰原装原罐进口婴幼儿牛奶粉3段900g 1-3岁,13915188747,30,3,5700,0.9
伊利金领冠3段900g 幼儿配方奶粉 14年最新日期,14231623248,0,1,0,0.9
【满200减20】伊利金领冠1段婴儿配方奶粉400g克*12盒 整箱,14062977732,60,33,84922.92,0.4
【满200减20】伊利金装婴儿配方奶粉1段900g克*2听 步步益+,13993152703,73,30,19126,0.9
14年10月到期】旭贝尔 1段 奶粉 900g听装 0-12个月 美国原装进口,12966839389,6,2,594,0.9
【满200减20】伊利金装婴儿配方奶粉1段900克*6听 整箱出售 步步,14063033657,18,10,14058,0.9
太子乐金装1段400g 婴儿配方奶粉,14147323774,33,1,1386,0.4
Abbott雅培金装喜康力较大婴儿配方奶粉智护二段 900g/罐,14262796824,0,0,0,0.9
迈高 原装进口能速达金装奶粉 2段 800g/克 限拍3件,14245865339,0,0,0,0.8
Abbott/雅培 金装智护100（婴儿喜康宝)奶粉1段 0-12个月400g盒装,14016821957,0,0,0,0.4
【满200减20】伊利金领冠3段幼儿配方奶粉400g克*12盒 整箱,14061702474,23,7,16169,0.4
Abbott 雅培 金装喜康力较大婴幼儿配方奶粉智护二段 三联包1200g,14273288164,0,0,0,1.2
Abbott 雅培 金装喜康力较大婴儿配方奶粉智护2段 400g/盒,14262636901,0,0,0,0.4
太子乐金装2段400g 较大婴儿配方奶粉 【3送1】 14年4月,14147887191,75,15,3150,0.4
买二送一 伊卡蓓尔牛奶粉 伊卡蓓尔新升级800g3段 官方授权,13915823163,7,2,1246,0.8
Karicare可瑞康 新西兰金装婴儿幼儿牛奶粉三段6罐装,13897521133,5,2,5700,0
欧洲原装进口 惠氏S-26金装学儿乐 学龄前儿童宝宝配方营养奶粉,14294132726,0,0,0,0
【满200减20】伊利金装婴儿配方奶粉1段400克*12盒 整箱 步步益+,14061794026,18,9,11574,0.4
惠氏启赋1段900克 原装进口婴儿配方【每个ID限购10件】,14284405527,22,10,8054,0.9
原装进口正品特福芬婴幼儿有机奶粉1段0-12个月600克 现货,12900237643,0,0,0,0.6
伊利普装2段400g 较大婴儿及幼儿配方奶粉 【14年5月】,14245639301,25,0,812.5,0.4
【买5送1】澳优金装优选幼优 3段婴儿奶粉3段(1-3岁)800g澳优奶粉,13767132152,24,3,4992,0.8
澳优金装健优优选2段婴儿奶粉2段6-12个月 400gX4盒 澳优奶粉,13965541461,1,1,368,0.4
惠氏S-26金装幼儿乐幼儿配方奶粉3/三段1200g 1-3岁,14476712032,4,1,824,1.2
明一a尔法盾配方奶粉 3段婴幼儿奶粉三段400g盒装1-3周岁牛奶粉,13085092953,0,0,0,0.4
官方直营 伊利金领冠3段1-3岁幼儿配方奶粉400g*4盒单笔满折热销,14315955294,302,138,73349.7599999999,0.4
美赞臣安婴宝A+较大婴儿配方奶粉 2/二段 1200克盒装,14475408204,3,1,756,1.2
进口雅培菁智智护100 婴儿配方奶粉2段900g听装适合6-18个月宝宝,13895785454,0,0,0,0.9
【爱婴室】雅培1段900g智护100金装喜康宝奶粉 046015,14482433133,10,0,2510,0.9
【精明妈咪】美素佳儿 金装美素力婴儿配方奶粉1段900g 美素1段,14530466930,3,1,804,0.9
完达山 金装元乳3段,14585568717,67,13,13266,0
ULTRU/傲滋 配方奶粉 900g 三段,14552114597,145,33,12760,0.9
荷兰原装进口 婴儿奶粉 2段配方奶粉 适合幼儿6-12个月宝宝 900g,14278482002,3,2,744,0.9
【满两罐就减价】澳优金装3段幼优婴幼儿童配方奶粉 进口奶源三段,14669004077,32,6,6654.4,0
伊利金装较大婴儿配方奶粉2/二段 400g 6-18个月,14475348689,0,0,0,0.4
【满200减20】伊利金领冠2段较大婴儿及幼儿配方奶粉400g克*12盒,14690391746,20,12,14880,0.4
太子乐金装1段900g 金100 婴儿配方奶粉 听装,14674506349,30,4,5490,0.9
雅培奶粉3段菁智900g 原装进口婴儿配方奶粉【每个ID限购10件】,14301362354,0,0,0,0.9
【买一送一】澳优有机能力多3段 婴幼儿童奶粉 法国原装进口三段,14669000206,67,14,26659.7,0
【买一送一】澳优有机能力多1段 婴幼儿童配方奶粉 法国原装进口,14669020063,30,9,11937,0
【天猫超市】雀巢奶粉 雀巢能恩金盾1段 900g 新老包装随机发货,14654285733,0,0,0,0.9
美赞臣安婴儿A+婴儿配方奶粉1200克盒装 1/一段 新生儿,14475208790,13,5,3640,1.2
雅士利奶粉 安贝慧3段900g听装 幼儿配方奶粉 正品保证,13829873439,18,7,1368,0.9
惠氏奶粉膳儿加1200g三联包 1-7岁偏食儿童宝宝配方奶粉 原装进口,14615676794,120,36,23711,1.2
【满200减20】伊利金装幼儿配方奶粉3段900克*6听 整箱 步步益+,14690531205,12,7,8580,0.9
惠氏S-26金装幼儿乐幼儿配方奶粉3/三段 900g 1-3岁,14795461479,0,0,0,0.9
【买就送】 纽瑞滋 金装婴儿配方奶粉 2段1000g 新西兰原装进口,14820341695,108,26,30024,1
澳优能力多较大婴儿配方奶粉3/三段 800g 6-12个月,14543672736,0,0,0,0.8
Ausnutria/澳优进口奶源金装优选学儿优儿童成长配方奶粉四段800g,14843035900,144,27,27072,0.8
新包装惠氏S-26金装健儿乐较大婴儿和幼儿配方奶粉900g 惠氏2段,14462413476,30,7,5177.4,0.9
纽贝斯特奶粉 金纽贝金装奶粉一段900g 最新升级 问问有惊喜,14843092952,0,0,0,0.9
玛米力奶粉2段900克 进口荷兰玛米力婴儿牛奶粉 积分防伪大促包邮,14626699661,33,8,6567,0.9
纽贝斯特奶粉 金纽贝金装奶粉二段900g 买二送一,14843260263,1,0,238,0.9
雅培菁智智护100幼儿配方奶粉3段900g听装适合1-3岁宝宝三段发票,14468487119,26,0,8351,0.9
亨氏欧洲原装超金智儿高婴儿配方奶粉2段 纯进口婴儿奶粉 400g,14518382899,77,13,5316,0.4
贝因美 金装爱+婴幼儿配方奶粉3段1000克 2014年6月 最新产品,14660118356,59,7,13688,1
【新包装】雅士利 安贝慧1段婴儿配方奶粉900g罐装 0-6个月,13829673903,1,1,0,0.9
正品德国原装进口 雀巢超级能恩2段800g 6-18个月婴幼儿奶粉,14652158617,0,0,0,0.8
超值立减 纽贝斯特 纽贝斯特考拉瑞迪 考拉瑞迪奶粉二段900g,14844416232,8,4,2624,0.9
美素佳儿金装较大婴儿配方奶粉 2/二段 900g*2桶 新包装,14890093317,1,0,430,0.9
特价雀巢能恩3段 幼儿配方奶粉400g 1-3岁,14540334485,0,0,0,0.4
明一奶粉 金智婴1-3周岁奶粉3段 幼儿配方奶粉 900g 最新包装,14886934936,63,10,5960,0.9
超值立减 纽贝斯特 纽贝斯特考拉瑞迪 考拉瑞迪奶粉三段900g,14844420840,15,2,4920,0.9
明一 金智婴婴儿奶粉0-6个月宝宝奶粉1段婴儿配方奶粉900g,14875826181,107,30,10430,0.9
太子乐a-金装乳清蛋白幼儿配方牛奶粉三段900g听装拍下满就减,14881616185,6,1,1128,0.9
【喜宝旗舰店】德国原装进口 HIPP喜宝益生元婴幼儿奶粉2段 800g,14202173500,1077,218,364026,0.8
Nestle雀巢能恩金盾一段400g/盒装婴儿奶粉进口奶源,13927842836,0,0,0,0.4
美赞臣3段 安儿宝A+幼儿配方奶粉 三段 4盒 美赞臣3段1200g奶粉,14891793142,573,285,413431,1.2
美赞臣2段 安婴宝A+婴幼儿配方奶粉900g 2/二段,14474084543,1,1,248.9,0.9
